presentedImage,participant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
fountain.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fountain4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fountain7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontDoor.jpg,46781,-0.3950717,-0.3950717,-0.3950717,2.266071,-0.2907131,-0.3950717,-0.3950717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontDoor2.jpg,46781,-0.420698,-0.420698,-0.420698,2.256471,-0.1529811,-0.420698,-0.420698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontDoor3.jpg,46781,-0.3910222,-0.3910222,-0.3910222,2.266795,-0.3116843,-0.3910222,-0.3910222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontDoor5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontFoyer.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontFoyer4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontFoyer6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontFoyer7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontLawn2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontLawn3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontLawn4.jpg,46781,-0.3871965,-0.3871965,-0.3871965,2.267295,-0.3313124,-0.3871965,-0.3871965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontLawn5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasstation2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasstation6.jpg,46781,-0.5247058,-0.5247058,-0.5247058,2.080519,0.5430095,-0.5247058,-0.5247058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasstation7.jpg,46781,-0.4784836,-0.4784836,0.1040181,2.215587,-0.4056708,-0.4784836,-0.4784836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasstation8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gazebo.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gazebo2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gazebo3.jpg,46781,-0.3969066,-0.3969066,-0.3969066,2.265675,-0.2811422,-0.3969066,-0.3969066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gazebo5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golfcourse10.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golfcourse6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golfcourse7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenhouse.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenhouse2.jpg,46781,-0.4426179,-0.4426179,-0.4426179,2.240468,-0.02737841,-0.4426179,-0.4426179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenhouse5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenmountains.jpg,46781,-0.5886889,-0.5886889,1.319099,1.598908,-0.5632517,-0.5886889,-0.5886889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grocerystore2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grocerystore3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grocerystore5.jpg,46781,-0.7576086,1.488478,1.301304,0.08467387,-0.6016303,-0.7576086,-0.7576086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grocerystore6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallway.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallway2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallway4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallway5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardwarestore1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hayfield4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hayfield5.jpg,46781,-0.7088077,-0.7088077,1.485291,1.335693,0.01424738,-0.7088077,-0.7088077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hayfield6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hayfield7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedgemaze1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highway.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highway2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highway4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highway7.jpg,46781,-0.569954,-0.569954,1.943543,0.8264334,-0.4901605,-0.569954,-0.569954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homegarage.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homegarage2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homegarage3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homegarage4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homegarden6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homegarden7.jpg,46781,-0.5877228,-0.4487343,1.969666,0.7743645,-0.5321274,-0.5877228,-0.5877228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeoffice.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeoffice8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hometheater2.jpg,46781,-0.8147305,1.018413,1.57854,0.4073652,-0.5601272,-0.8147305,-0.8147305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsebarn11.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsebarn8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsebarn9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitalroom2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitalroom3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotelRoom2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotelRoom3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotelRoom7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotellobby2.jpg,46781,-0.7342353,0.6934445,1.835588,0.3263268,-0.6526536,-0.7342353,-0.7342353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hut1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hut2.jpg,46781,-0.4321416,-0.4321416,-0.4321416,-0.08839259,2.249101,-0.4321416,-0.4321416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hut3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hut5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icecream2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igloo.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igloo2.jpg,46781,-0.4781667,-0.4781667,2.207832,0.141679,-0.4368437,-0.4781667,-0.4781667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igloo4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igloo5.jpg,46781,-0.3891941,-0.3891941,-0.3891941,2.267056,-0.3210852,-0.3891941,-0.3891941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jail1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jewelrystore.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jewelrystore8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kindergarten_classroom.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kindergarten_classroom5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kindergarten_classroom6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kindergarten_classroom7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labClass7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laundromat2.jpeg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laundromat3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laundromat4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library_aisle10.jpg,46781,-0.6001509,-0.6001509,1.691334,1.205262,-0.4959925,-0.6001509,-0.6001509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library_aisle3.jpg,46781,-0.3851625,-0.3851625,-0.3851625,2.267489,-0.3416764,-0.3851625,-0.3851625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library_aisle8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library_aisle9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightingstore2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightingstore3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightingstore4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquorstore.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquorstore2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquorstore7.jpg,46781,-0.6081991,-0.6081991,1.443091,1.481794,-0.4920884,-0.6081991,-0.6081991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquorstore8.jpg,46781,-0.4768167,-0.4361129,2.209638,0.1337413,-0.4768167,-0.4768167,-0.4768167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
livingroom.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lockerroom.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lockerroom2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lockerroom3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lockerroom4.jpg,46781,-0.4585046,-0.4585046,-0.4585046,-0.3116633,2.247572,-0.1018899,-0.4585046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lookout4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mallindoor6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metroInside1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metroInside2.jpg,46781,-0.4369057,-0.4369057,-0.4369057,2.245409,-0.06088031,-0.4369057,-0.4369057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metroInside3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metroInside4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minigolf.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minigolf8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum5.jpg,46781,-0.6336591,-0.6336591,-0.6336591,-0.2950626,1.025464,1.804236,-0.6336591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
musicStore1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
musicStore3.jpg,46781,-0.531543,-0.531543,2.105051,0.4787407,-0.4576197,-0.531543,-0.531543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newsstand2.jpg,46781,-0.5615326,-0.5615326,-0.5615326,0.1220723,2.172887,-0.0488289,-0.5615326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newsstand5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newsstand7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nursery.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nursery4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observatory1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observatory2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observatory4.jpeg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
office3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operatingroom1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operatingroom4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantry5.jpg,46781,-0.6876119,0.4063161,2.000326,0.2500407,-0.5938467,-0.6876119,-0.6876119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
park.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
park2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
park7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
park8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinggarage.jpg,46781,-0.5170782,-0.5170782,2.127975,0.41764,-0.4773029,-0.5170782,-0.5170782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinggarage2.jpg,46781,-0.4633324,-0.4633324,-0.4633324,2.217376,0.09928551,-0.4633324,-0.4633324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinggarage3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinggarage4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinglot.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinglot2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinglot3.jpg,46781,-0.3876351,-0.3876351,-0.3876351,2.267247,-0.3290715,-0.3876351,-0.3876351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasture.jpg,46781,-0.5670376,-0.5670376,-0.5670376,-0.3549396,0.5540521,2.069038,-0.5670376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasture8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasture9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pavilion.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pavilion2.jpg,46781,-0.5978118,-0.5978118,-0.5978118,-0.2891057,0.6713133,2.00904,-0.5978118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pavilion3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pavilion5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
photographer_studio2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pier2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pier5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playground10.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playground6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playground9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playroom4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playroom6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poolhall1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poolhall2.jpeg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poolhall5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
porch.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postoffice4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promenadeDeck.jpg,46781,-0.6879269,-0.6879269,-0.6879269,-0.08599086,1.227324,1.610375,-0.6879269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promenadeDeck2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promenadeDeck3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promenadeDeck6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publicrestroom2.jpg,46781,-0.5771507,-0.5771507,-0.5771507,-0.2914903,2.075411,0.5246825,-0.5771507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
racecarcourse2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainforest5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readingroom1.jpg,46781,-0.5279952,-0.5279952,-0.5279952,-0.3094165,0.2469655,2.174432,-0.5279952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readingroom2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readingroom4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readingroom5.jpg,46781,-0.5337006,-0.5337006,2.046769,0.6217337,-0.5337006,-0.5337006,-0.5337006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recordingstudio4.jpg,46781,-0.5677675,-0.5677675,-0.5677675,1.842917,0.99592,-0.5677675,-0.5677675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant13.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant14.jpg,46781,-0.7642652,0.4703171,1.763689,0.7054756,-0.646686,-0.7642652,-0.7642652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurantkitchen2.jpg,46781,-0.3867374,-0.3867374,-0.3867374,2.267343,-0.3336558,-0.3867374,-0.3867374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rooftop1.jpg,46781,-0.4448387,-0.4448387,-0.4448387,-0.01419699,2.23839,-0.4448387,-0.4448387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rooftop2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rooftop3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rooftop4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruralroad2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruralroad3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruralroad5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruralroad7.jpg,46781,-0.7153813,-0.7153813,0.06220707,1.524073,1.275245,-0.7153813,-0.7153813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandDunes_desert_outdoor.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandDunes_desert_outdoor3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandDunes_desert_outdoor8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandDunes_desert_outdoor9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandbox.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
savanna.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
savanna5.jpg,46781,-0.3980558,-0.3980558,-0.3980558,2.265406,-0.2751268,-0.3980558,-0.3980558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sculpturegarden1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sculpturegarden2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sculpturegarden3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sculpturegarden4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoestore2.jpg,46781,-0.4847808,-0.4847808,2.183364,0.2405401,-0.4847808,-0.4847808,-0.4847808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoestore4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sidewalk1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sidewalk2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sidewalk3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sidewalk5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skatepark5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skatepark7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerfield.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerfield2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase.jpg,46781,-0.5904362,-0.5904362,1.966092,0.7730453,-0.3773922,-0.5904362,-0.5904362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stripmall.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stripmall3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stripmall6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenniscourt.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenniscourt3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theater2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ticket_counter6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tollbooth8.jpg,46781,-0.3851043,-0.3851043,-0.3851043,2.267494,-0.3419726,-0.3851043,-0.3851043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
track.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
track5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trainStation1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trainStation3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trainStation5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treehouse.jpg,46781,-0.5726185,-0.5726185,0.5408064,2.071766,-0.3220979,-0.5726185,-0.5726185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tvstudio2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tvstudio3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volleyballcourt.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volleyballcourt4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waitingroom2.jpg,46781,-0.3779645,-0.3779645,-0.3779645,2.267787,-0.3779645,-0.3779645,-0.3779645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waitingroom3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waitingroom4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouse1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouse2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouse3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouse4.jpg,46781,-0.4405372,-0.4405372,-0.4405372,-0.03964834,2.242334,-0.4405372,-0.4405372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouseoutside1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouseoutside2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouseoutside3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouseoutside4.jpg,46781,-0.5629182,-0.5629182,1.993848,0.7305046,-0.4726794,-0.5629182,-0.5629182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
